Index,energy,temp,feelslike,dew,humidity,response
983,47.5,28.1,32.6,24.8,82.4,1
984,28.9,28,32.5,24.7,82.41,1
985,23.9,27.3,31.1,24.7,85.92,1
986,11.7,27,30.6,25,88.81,1
987,13.3,26.9,30.3,24.9,88.81,1
988,11.6,26,26,24,88.74,2
989,11.6,26,26,23,83.59,2
990,10.1,25.1,25.1,23.9,93.22,2
991,8.8,25.1,25.1,24,93.86,2
992,14.6,24.1,24.1,22.9,93.17,2
993,33.9,24.2,24.2,22.9,92.56,2
994,47.4,25,25,23.2,89.6,2
995,79.4,26.1,26.1,23.8,87.25,1
996,86.6,28,31.3,23.1,74.56,1
997,90.9,29,32.8,23,70.13,1
998,110.7,30,35.1,24,70.31,1
999,107.3,29.8,34.8,24.1,71.47,1
1000,76.8,30,35.1,24,70.31,1
1001,76.3,29,33.6,24,74.55,1
1002,67.1,28,32.8,25,83.56,1
1003,58.6,26,26,24.8,92.97,2
1004,46.1,26,26,24,88.78,2
1005,36.5,25.3,25.3,23.8,91.37,2
1006,27.2,25.3,25.3,24,92.62,2
1007,19.1,25.1,25.1,24.1,94.19,2
1008,16.4,25.1,25.1,24.1,94.19,2
1009,15.3,24.8,24.8,24,95.47,2
1010,15.4,25,25,24,94.19,2
1011,13,25,25,24,94.19,2
1012,14.2,24.8,24.8,23.9,94.82,2
1013,13.9,24.3,24.3,23.7,96.65,2
1014,18.2,24.1,24.1,23.2,94.79,2
1015,16.3,24,24,23,94.15,2
1016,16.7,24.1,24.1,23.7,97.96,2
1017,35.7,23.8,23.8,23.1,95.76,2
1018,87,24.8,24.8,23.7,93.86,2
1019,95.2,27,29.3,22.2,74.94,1
1020,96.9,29.2,33.9,24.1,73.99,1
1021,111.4,31.1,37.8,25,70.23,1
1022,119.5,31.1,36.8,24.2,66.82,1
1023,125.6,30.1,35.4,24.2,70.73,1
1024,130,32.1,39,24.8,65.44,1
1025,120.9,29,32.8,23,70.07,1
